Issue Type,Summary,Description,Labels,Labels,Labels,Labels,Epic Name,Epic Link,Work item ID,Parent
Story,CL-US-033 Canjear recompensa (confirmación),"Historia: Como cliente, quiero canjear una recompensa confirmando la acción para no gastar puntos por error.
Criterios de aceptación:
- Se pide confirmación mostrando costo y saldo resultante.
- Si la API confirma el canje, se descuenta el saldo y se muestra confirmación.
- Si falla el canje, se muestra error y no se altera el saldo local.",MVP,rewards,api,, ,CL-EP03,17,13
Story,CL-US-034 Comprobante de canje,"Historia: Como cliente, quiero ver un comprobante (código o folio) del canje para reclamar mi premio en tienda.
Criterios de aceptación:
- Tras canjear exitosamente, se muestra un folio/código asociado.
- El comprobante queda accesible desde un historial de canjes.",Post-MVP,rewards,,,,CL-EP03,18,13
Story,CL-US-035 Historial de canjes,"Historia: Como cliente, quiero ver mis canjes anteriores para saber qué ya reclamé.
Criterios de aceptación:
- Se listan canjes con fecha, recompensa y estado.
- Estado vacío y errores manejados.",Post-MVP,rewards,,,,CL-EP03,19,13
Epic,CL-EP04 Visualización de progreso (componentes gráficos),"Objetivo: mejorar comprensión del cliente con indicadores visuales de progreso hacia recompensas.",MVP,ux,progress,,CL-EP04,,20,
Story,CL-US-040 Progreso hacia la recompensa más cercana,"Historia: Como cliente, quiero ver mi progreso hacia la recompensa que me falta menos para motivarme a seguir acumulando.
Criterios de aceptación:
- Se calcula la recompensa más cercana y se muestra progreso.
- Si ya puedo canjear alguna recompensa, el progreso refleja listo para canjear.",MVP,ux,progress,, ,CL-EP04,21,20
Story,CL-US-041 Componente gráfico reutilizable,"Historia: Como cliente, quiero un indicador visual claro (barra/círculo) para entender rápidamente mi avance.
Criterios de aceptación:
- Existe un componente reutilizable para progreso.
- Se ve bien en tamaños de pantalla comunes.",MVP,ui,,,,CL-EP04,22,20
Story,CL-US-042 Mensajes de motivación contextual,"Historia: Como cliente, quiero ver mensajes simples (Te faltan X puntos) para saber qué tan cerca estoy.
Criterios de aceptación:
- El mensaje se actualiza con el saldo.
- No muestra valores negativos ni inconsistentes.",MVP,ux,,,,CL-EP04,23,20
Epic,CL-EP05 Seguridad básica y calidad (técnica),"Objetivo: asegurar que el manejo de tokens/datos sea seguro y que la app sea estable.",MVP,security,quality,,CL-EP05,,24,
Task,CL-US-050 Almacenamiento seguro de tokens,"Historia técnica: Como sistema, quiero guardar tokens de forma segura para reducir riesgo ante accesos al dispositivo.
Criterios de aceptación:
- Tokens no se guardan en texto plano en almacenamiento no seguro.
- En logout, los tokens se eliminan.",MVP,security,,,,CL-EP05,25,24
Task,CL-US-051 Cliente API con manejo centralizado de auth,"Historia técnica: Como desarrollador, quiero un cliente HTTP con manejo centralizado de headers, errores y refresh para evitar duplicación.
Criterios de aceptación:
- Todas las llamadas a API pasan por un punto común que agrega token y maneja 401.
- Se evitan reintentos infinitos.",MVP,api,architecture,,,CL-EP05,26,24
Task,CL-US-052 Manejo consistente de estados (loading/error/empty),"Historia técnica: Como cliente, quiero que la app sea consistente al cargar datos y ante errores para no confundirme.
Criterios de aceptación:
- En pantallas de puntos y recompensas existen estados de carga, error y vacío.
- Mensajes de error entendibles y accionables (reintentar).",MVP,ux,quality,,,CL-EP05,27,24
Task,CL-US-053 Pruebas mínimas de flujos críticos,"Historia técnica: Como equipo, quiero pruebas mínimas para evitar regresiones en login, consulta de puntos y canje.
Criterios de aceptación:
- Existe al menos 1 prueba por flujo crítico (feliz + error principal).",Post-MVP,testing,,,,CL-EP05,28,24
